"cn","BCR","Prov.letters","PopEst","ProvBCR"
"Alder Flycatcher",7,"ON",2335037,"68-7"
"American Crow",7,"ON",103970,"68-7"
"American Goldfinch",7,"ON",6216,"68-7"
"American Kestrel",7,"ON",4105,"68-7"
"American Redstart",7,"ON",661593,"68-7"
"American Robin",7,"ON",2270032,"68-7"
"American Three-toed Woodpecker",7,"ON",44649,"68-7"
"American Tree Sparrow",7,"ON",155832,"68-7"
"Bank Swallow",7,"ON",1940,"68-7"
"Barn Swallow",7,"ON",5590,"68-7"
"Bay-breasted Warbler",7,"ON",383070,"68-7"
"Belted Kingfisher",7,"ON",33820,"68-7"
"Black-and-white Warbler",7,"ON",883510,"68-7"
"Black-backed Woodpecker",7,"ON",100030,"68-7"
"Blackburnian Warbler",7,"ON",32187,"68-7"
"Black-capped Chickadee",7,"ON",111949,"68-7"
"Blackpoll Warbler",7,"ON",2813331,"68-7"
"Black-throated Green Warbler",7,"ON",117284,"68-7"
"Blue-headed Vireo",7,"ON",543902,"68-7"
"Bohemian Waxwing",7,"ON",4849,"68-7"
"Boreal Chickadee",7,"ON",529928,"68-7"
"Brown Creeper",7,"ON",834352,"68-7"
"Brown Thrasher",7,"ON",1720,"68-7"
"Canada Warbler",7,"ON",31207,"68-7"
"Cape May Warbler",7,"ON",372880,"68-7"
"Cedar Waxwing",7,"ON",449900,"68-7"
"Chestnut-sided Warbler",7,"ON",289462,"68-7"
"Chipping Sparrow",7,"ON",861822,"68-7"
"Clay-colored Sparrow",7,"ON",7342,"68-7"
"Cliff Swallow",7,"ON",5357,"68-7"
"Common Grackle",7,"ON",4277,"68-7"
"Common Raven",7,"ON",100902,"68-7"
"Common Redpoll",7,"ON",898869,"68-7"
"Common Yellowthroat",7,"ON",902818,"68-7"
"Connecticut Warbler",7,"ON",196459,"68-7"
"Dark-eyed Junco",7,"ON",6758989,"68-7"
"Downy Woodpecker",7,"ON",24445,"68-7"
"Eastern Wood-Pewee",7,"ON",6509,"68-7"
"European Starling",7,"ON",16230,"68-7"
"Evening Grosbeak",7,"ON",6487,"68-7"
"Fox Sparrow",7,"ON",1155647,"68-7"
"Golden-crowned Kinglet",7,"ON",3485729,"68-7"
"Gray Jay",7,"ON",1225153,"68-7"
"Gray-cheeked Thrush",7,"ON",47608,"68-7"
"Hairy Woodpecker",7,"ON",207693,"68-7"
"Hermit Thrush",7,"ON",2123948,"68-7"
"Horned Lark",7,"ON",201466,"68-7"
"Le Conte's Sparrow",7,"ON",369191,"68-7"
"Least Flycatcher",7,"ON",1397585,"68-7"
"Lincoln's Sparrow",7,"ON",5164373,"68-7"
"Magnolia Warbler",7,"ON",1564734,"68-7"
"Merlin",7,"ON",93365,"68-7"
"Mourning Dove",7,"ON",4062,"68-7"
"Mourning Warbler",7,"ON",82192,"68-7"
"Nashville Warbler",7,"ON",1131395,"68-7"
"Nelson's Sparrow",7,"ON",395826,"68-7"
"Northern Flicker",7,"ON",145333,"68-7"
"Northern Harrier",7,"ON",29468,"68-7"
"Northern Parula",7,"ON",9711,"68-7"
"Northern Waterthrush",7,"ON",1160819,"68-7"
"Olive-sided Flycatcher",7,"ON",46872,"68-7"
"Orange-crowned Warbler",7,"ON",1189045,"68-7"
"Osprey",7,"ON",13931,"68-7"
"Ovenbird",7,"ON",342533,"68-7"
"Palm Warbler",7,"ON",4336388,"68-7"
"Philadelphia Vireo",7,"ON",262393,"68-7"
"Pileated Woodpecker",7,"ON",10082,"68-7"
"Pine Grosbeak",7,"ON",57108,"68-7"
"Pine Siskin",7,"ON",65120,"68-7"
"Purple Finch",7,"ON",79162,"68-7"
"Red-breasted Nuthatch",7,"ON",221040,"68-7"
"Red-eyed Vireo",7,"ON",949277,"68-7"
"Red-tailed Hawk",7,"ON",8910,"68-7"
"Red-winged Blackbird",7,"ON",65061,"68-7"
"Ruby-crowned Kinglet",7,"ON",5741272,"68-7"
"Rusty Blackbird",7,"ON",981096,"68-7"
"Savannah Sparrow",7,"ON",8082235,"68-7"
"Sharp-tailed Grouse",7,"ON",18688,"68-7"
"Short-eared Owl",7,"ON",5069,"68-7"
"Song Sparrow",7,"ON",438518,"68-7"
"Swainson's Thrush",7,"ON",2112761,"68-7"
"Swamp Sparrow",7,"ON",2538764,"68-7"
"Tennessee Warbler",7,"ON",2141413,"68-7"
"Tree Swallow",7,"ON",92465,"68-7"
"Veery",7,"ON",9520,"68-7"
"White-crowned Sparrow",7,"ON",1063257,"68-7"
"White-throated Sparrow",7,"ON",6733974,"68-7"
"White-winged Crossbill",7,"ON",1465384,"68-7"
"Willow Ptarmigan",7,"ON",528200,"68-7"
"Wilson's Warbler",7,"ON",1710630,"68-7"
"Winter Wren",7,"ON",975078,"68-7"
"Yellow Warbler",7,"ON",2253589,"68-7"
"Yellow-bellied Flycatcher",7,"ON",1230885,"68-7"
"Yellow-bellied Sapsucker",7,"ON",207065,"68-7"
"Yellow-rumped Warbler",7,"ON",3393015,"68-7"
"American Robin",3,"MB",6682,"45-3"
"American Tree Sparrow",3,"MB",16840,"45-3"
"Blackpoll Warbler",3,"MB",322,"45-3"
"Bohemian Waxwing",3,"MB",27,"45-3"
"Common Raven",3,"MB",320,"45-3"
"Common Redpoll",3,"MB",9788,"45-3"
"Dark-eyed Junco",3,"MB",20,"45-3"
"Fox Sparrow",3,"MB",1207,"45-3"
"Golden Eagle",3,"MB",62,"45-3"
"Gray Jay",3,"MB",520,"45-3"
"Gray-cheeked Thrush",3,"MB",1178,"45-3"
"Horned Lark",3,"MB",20652,"45-3"
"Merlin",3,"MB",303,"45-3"
"Northern Harrier",3,"MB",14,"45-3"
"Northern Waterthrush",3,"MB",4,"45-3"
"Osprey",3,"MB",2,"45-3"
"Rusty Blackbird",3,"MB",128,"45-3"
"Savannah Sparrow",3,"MB",24504,"45-3"
"Short-eared Owl",3,"MB",257,"45-3"
"Tree Swallow",3,"MB",1071,"45-3"
"White-crowned Sparrow",3,"MB",13310,"45-3"
"White-throated Sparrow",3,"MB",33,"45-3"
"Willow Ptarmigan",3,"MB",3395,"45-3"
"Yellow Warbler",3,"MB",711,"45-3"
"American Pipit",3,"MB",25391,"45-3"
"Bald Eagle",3,"MB",18,"45-3"
"Harris's Sparrow",3,"MB",4672,"45-3"
"Hoary Redpoll",3,"MB",17189,"45-3"
"Lapland Longspur",3,"MB",62676,"45-3"
"Northern Shrike",3,"MB",2,"45-3"
"Rough-legged Hawk",3,"MB",242,"45-3"
"Smith's Longspur",3,"MB",53,"45-3"
"Snowy Owl",3,"MB",4,"45-3"
"Common Raven",3,"NL",1525,"57-3"
"Horned Lark",3,"NL",4558,"57-3"
"American Pipit",3,"NL",2953,"57-3"
"Gyrfalcon",3,"NL",192,"57-3"
"Hoary Redpoll",3,"NL",1109,"57-3"
"Lapland Longspur",3,"NL",20672,"57-3"
"Rock Ptarmigan",3,"NL",4231,"57-3"
"Snow Bunting",3,"NL",56103,"57-3"
"American Goldfinch",3,"NT",25,"43-3"
"American Robin",3,"NT",579232,"43-3"
"American Tree Sparrow",3,"NT",1455048,"43-3"
"Bank Swallow",3,"NT",2821,"43-3"
"Barn Swallow",3,"NT",715,"43-3"
"Blackpoll Warbler",3,"NT",27816,"43-3"
"Bohemian Waxwing",3,"NT",2364,"43-3"
"Brown Thrasher",3,"NT",1408,"43-3"
"Cliff Swallow",3,"NT",14964,"43-3"
"Common Raven",3,"NT",211249,"43-3"
"Common Redpoll",3,"NT",912333,"43-3"
"Dark-eyed Junco",3,"NT",1769,"43-3"
"Fox Sparrow",3,"NT",104281,"43-3"
"Golden Eagle",3,"NT",5826,"43-3"
"Gray Jay",3,"NT",44911,"43-3"
"Gray-cheeked Thrush",3,"NT",101773,"43-3"
"Horned Lark",3,"NT",2171945,"43-3"
"Merlin",3,"NT",26182,"43-3"
"Mountain Bluebird",3,"NT",6104,"43-3"
"Northern Harrier",3,"NT",1274,"43-3"
"Northern Waterthrush",3,"NT",321,"43-3"
"Osprey",3,"NT",164,"43-3"
"Ruby-crowned Kinglet",3,"NT",49,"43-3"
"Rusty Blackbird",3,"NT",11043,"43-3"
"Savannah Sparrow",3,"NT",2323919,"43-3"
"Say's Phoebe",3,"NT",11918,"43-3"
"Short-eared Owl",3,"NT",22866,"43-3"
"Song Sparrow",3,"NT",5231,"43-3"
"Tree Swallow",3,"NT",92529,"43-3"
"Varied Thrush",3,"NT",85,"43-3"
"White-crowned Sparrow",3,"NT",1312408,"43-3"
"White-throated Sparrow",3,"NT",8616,"43-3"
"Willow Ptarmigan",3,"NT",379753,"43-3"
"Yellow Warbler",3,"NT",61457,"43-3"
"Yellow-rumped Warbler",3,"NT",135107,"43-3"
"American Pipit",3,"NT",2339139,"43-3"
"Bald Eagle",3,"NT",1572,"43-3"
"Gyrfalcon",3,"NT",4672,"43-3"
"Harris's Sparrow",3,"NT",403757,"43-3"
"Hoary Redpoll",3,"NT",1614478,"43-3"
"Lapland Longspur",3,"NT",7993114,"43-3"
"Northern Shrike",3,"NT",214,"43-3"
"Northern Wheatear",3,"NT",28287,"43-3"
"Peregrine Falcon",3,"NT",39143,"43-3"
"Rock Ptarmigan",3,"NT",436257,"43-3"
"Rough-legged Hawk",3,"NT",31170,"43-3"
"Smith's Longspur",3,"NT",6139,"43-3"
"Snow Bunting",3,"NT",2032582,"43-3"
"Snowy Owl",3,"NT",16233,"43-3"
"White-tailed Ptarmigan",3,"NT",17723,"43-3"
"American Goldfinch",3,"NU",126,"62-3"
"American Robin",3,"NU",2974338,"62-3"
"American Tree Sparrow",3,"NU",7471624,"62-3"
"Bank Swallow",3,"NU",14487,"62-3"
"Barn Swallow",3,"NU",3671,"62-3"
"Blackpoll Warbler",3,"NU",142834,"62-3"
"Bohemian Waxwing",3,"NU",12137,"62-3"
"Brown Thrasher",3,"NU",7228,"62-3"
"Cliff Swallow",3,"NU",76837,"62-3"
"Common Raven",3,"NU",1084758,"62-3"
"Common Redpoll",3,"NU",4684802,"62-3"
"Dark-eyed Junco",3,"NU",9081,"62-3"
"Fox Sparrow",3,"NU",535479,"62-3"
"Golden Eagle",3,"NU",29918,"62-3"
"Gray Jay",3,"NU",230616,"62-3"
"Gray-cheeked Thrush",3,"NU",522599,"62-3"
"Horned Lark",3,"NU",11152874,"62-3"
"Merlin",3,"NU",134446,"62-3"
"Mountain Bluebird",3,"NU",31345,"62-3"
"Northern Harrier",3,"NU",6541,"62-3"
"Northern Waterthrush",3,"NU",1651,"62-3"
"Osprey",3,"NU",842,"62-3"
"Ruby-crowned Kinglet",3,"NU",252,"62-3"
"Rusty Blackbird",3,"NU",56708,"62-3"
"Savannah Sparrow",3,"NU",11933250,"62-3"
"Say's Phoebe",3,"NU",61197,"62-3"
"Short-eared Owl",3,"NU",117416,"62-3"
"Song Sparrow",3,"NU",26862,"62-3"
"Tree Swallow",3,"NU",475133,"62-3"
"Varied Thrush",3,"NU",434,"62-3"
"White-crowned Sparrow",3,"NU",6739174,"62-3"
"White-throated Sparrow",3,"NU",44244,"62-3"
"Willow Ptarmigan",3,"NU",1950018,"62-3"
"Yellow Warbler",3,"NU",315579,"62-3"
"Yellow-rumped Warbler",3,"NU",693767,"62-3"
"American Pipit",3,"NU",12011405,"62-3"
"Bald Eagle",3,"NU",8072,"62-3"
"Gyrfalcon",3,"NU",23991,"62-3"
"Harris's Sparrow",3,"NU",2073279,"62-3"
"Hoary Redpoll",3,"NU",8290293,"62-3"
"Lapland Longspur",3,"NU",41044396,"62-3"
"Northern Shrike",3,"NU",1101,"62-3"
"Northern Wheatear",3,"NU",145254,"62-3"
"Peregrine Falcon",3,"NU",200999,"62-3"
"Rock Ptarmigan",3,"NU",2240168,"62-3"
"Rough-legged Hawk",3,"NU",160054,"62-3"
"Smith's Longspur",3,"NU",31521,"62-3"
"Snow Bunting",3,"NU",10437248,"62-3"
"Snowy Owl",3,"NU",83354,"62-3"
"White-tailed Ptarmigan",3,"NU",91009,"62-3"
"American Robin",3,"QC",896424,"76-3"
"American Tree Sparrow",3,"QC",2258509,"76-3"
"Blackpoll Warbler",3,"QC",43176,"76-3"
"Common Raven",3,"QC",73001,"76-3"
"Common Redpoll",3,"QC",1323439,"76-3"
"Fox Sparrow",3,"QC",161864,"76-3"
"Golden Eagle",3,"QC",8449,"76-3"
"Gray Jay",3,"QC",69710,"76-3"
"Gray-cheeked Thrush",3,"QC",157970,"76-3"
"Horned Lark",3,"QC",2833771,"76-3"
"Merlin",3,"QC",40640,"76-3"
"Northern Waterthrush",3,"QC",499,"76-3"
"Ruby-crowned Kinglet",3,"QC",76,"76-3"
"Rusty Blackbird",3,"QC",17141,"76-3"
"Savannah Sparrow",3,"QC",3319482,"76-3"
"Short-eared Owl",3,"QC",34552,"76-3"
"White-crowned Sparrow",3,"QC",1811059,"76-3"
"Willow Ptarmigan",3,"QC",469124,"76-3"
"Yellow-rumped Warbler",3,"QC",184270,"76-3"
"American Pipit",3,"QC",3429821,"76-3"
"Gyrfalcon",3,"QC",4582,"76-3"
"Hoary Redpoll",3,"QC",2326535,"76-3"
"Lapland Longspur",3,"QC",8827287,"76-3"
"Northern Shrike",3,"QC",333,"76-3"
"Northern Wheatear",3,"QC",10577,"76-3"
"Peregrine Falcon",3,"QC",46133,"76-3"
"Rock Ptarmigan",3,"QC",559851,"76-3"
"Rough-legged Hawk",3,"QC",34071,"76-3"
"Snow Bunting",3,"QC",1741376,"76-3"
"Snowy Owl",3,"QC",3055,"76-3"
